index,count,tx_0,action_types,swap_pools,token_path,action_groups,flash_pair
56,294,0x0806a484daf46bf1948185fac7f13613268da0969d638bc87dc934eefeab6b13,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sFrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0"
53,238,0xb1e182dfae0a0c81d609385da915ae2e5b94eaebf4061b0291277dce3287d65a,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
usdc","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
CurveSwap:2
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0"
67,54,0x9332769f94c51f9be3dc185e54b9abe10119efcb1fe7dcbfb2177739ff9bc29c,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sFrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


UniswapV3Pool-WETH-USDT:fee_500","usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0"
24,40,0x9279823d64a3f2ea445affef949738b2d8d86bf65282d842ca9278e18612b768,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
CurveSwap:2
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0










1
0
1"
60,31,0x60488408fcd5980f0d62cfee11e886640f54e501d173902be1fd4c549cbf0d07,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sFrxETH_in
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD


UniswapV3Pool-WETH-frxETH:fee_500,UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-frxETH:fee_500","usdc
usdc
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
weth
frxeth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
UniswapSwap:3","0






0
"
74,30,0xe4407dd7227f9cb91b5db9f5243641bb30e49c71fad61da973914165b69ff4a9,"UniswapSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-frxETH:fee_500


LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500,UniswapV3Pool-WETH-frxETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500","frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
weth
usdc","flash_borrow:UniswapV3Pool-WETH-frxETH:fee_500:0
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-frxETH:fee_500:0
UniswapSwap:3","0






0
"
63,20,0x5a15a881f95c35eccce372a94b3888284a44599c750e6ace7f0ec903b2558b32,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500






LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
usdt","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
frxETH_mint:1
frxETH_mint:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0"
54,14,0x2fe7dd51c22f3c4780c4b42e38824f83b9a2116286f53c73b0fd72b900626a77,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC,UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0









0"
71,11,0x93fbe8e5d5de301904d56fdb1de45eb2d40edc1cbb996d8f538ddca1c45e8269,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sFrxETH_in
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD


UniswapV3Pool-WETH-frxETH:fee_500
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-frxETH:fee_500","usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
weth
weth
frxeth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
flash_borrow:UniswapV3Pool-WETH-frxETH:fee_500:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0
flash_repay:UniswapV3Pool-WETH-frxETH:fee_500:1","0






1
0
1"
44,9,0x3069dbb152b5b7a89a7e3660207ee6ad1c7d0f232f6bf6c9576dbce6b6d83f12,"PancakeSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
frxETH_unstake:frxETH_out
frxETH_unstake:sFrxETH_in
CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
PancakeSwap:token_in","PancakeV3Pool-WETH-USDT
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


PancakeV3Pool-WETH-USDT","usdt
usdt
crvusd
crvusd
sfrxeth
frxeth
sfrxeth
frxeth
eth
eth
weth
weth","flash_borrow:PancakeV3Pool-WETH-USDT:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
frxETH_unstake:1
frxETH_unstake:1
CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:PancakeV3Pool-WETH-USDT:0","0










0"
40,8,0xb945b28b80bf913bac71eab3fa18b575c1bcef049e52513d35adfd520505e326,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD","crvusd
sfrxeth","LLAMMA:1
LLAMMA:1","
"
20,6,0x8f7cfe3c8bca8cc4ae6b5ea59303fc9fb4060ae19475c2ef337d1e995cbf9165,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault






LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
frxETH_mint:1
frxETH_mint:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0










1
0
1"
23,6,0xa635a5023abf9821e4baf786827257d57555f78949e71ed06875d6b742e8a8d3,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
CurveSwap:token_in
CurveSwap:token_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
PancakeSwap:token_out
BalancerVault:token_in
PancakeSwap:token_in","BalancerVault


CurveStableSwap-ETH-FRXETH
CurveStableSwap-ETH-FRXETH


LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
PancakeV3Pool-WETH-USDT
BalancerVault
PancakeV3Pool-WETH-USDT","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
CurveSwap:1
CurveSwap:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:2
CurveSwap:2
flash_borrow:PancakeV3Pool-WETH-USDT:1
flash_repay:BalancerVault:0
flash_repay:PancakeV3Pool-WETH-USDT:1","0










1
0
1"
52,6,0x85741bf5e0d2c0fd13ef8bcb9ad7eaacc7307622661bfd818d2d54959eeb19f2,"UniswapSwap:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500






LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
usdc","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
WETH_withdraw:1
WETH_withdraw:1
frxETH_mint:1
frxETH_mint:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0"
18,5,0x5bdc1977c23d2fe17b4a141d113e44f79e2c41279d4026648eafbb372eddea01,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
frxETH_mint:eth_in
frxETH_mint:frxETH_out
frxETH_stake:frxETH_in
frxETH_stake:sFrxETH_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault






LLAMMA-sFrxETH-crvUSD
LLAMMA-sFrxETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
BalancerVault
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
frxeth
frxeth
sfrxeth
sfrxeth
crvusd
crvusd
usdc
weth
weth
usdc","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
frxETH_mint:1
frxETH_mint:1
frxETH_stake:1
frxETH_stake:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:1","0










1
0
1"
