index,count,tx_0,action_types,swap_pools,token_path,action_groups,flash_pair
94,117,0xf8de27d0d1a8a66a561b2a71b5ff094d39c2a7f666fb8808ba6be940991a96b0,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD","wsteth
crvusd","LLAMMA:1
LLAMMA:1","
"
112,97,0x0ac5408296a21b40f0510f9383494b9eae806d0fb7aff781d4a6243f8694dc3f,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
LLAMMA:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-wstETH:fee_100,UniswapV3Pool-WETH-USDC:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD,UniswapV3Pool-WETH-wstETH:fee_100","usdc
usdc
crvusd
weth
crvusd
wsteth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0,flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:1
LLAMMA:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:1","0


0,1

1"
129,85,0xb1e21a3b291f806542853521279a53d5a7b3680cbeb324c332526a12810b226b,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500,UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500","wsteth
wsteth
crvusd
crvusd
usdc
weth
usdc","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
UniswapSwap:3","0




0
"
134,56,0xddd0ea3907cd68c4efb1cdf026be342057c9ee9ca16405381b1dc2efc4cab08b,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500,UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDT:fee_500","wsteth
wsteth
crvusd
crvusd
usdt
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
UniswapSwap:3","0




0
"
133,54,0x4246a1fe463c161f9a5f45bc8bb580cb4763ea4e6a377d070f46639578808c95,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDT:fee_500","wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0




1
0
1"
108,41,0x4c322d385aa874052db3810ea3961f1ccd7d8a98fc3b84f00aca04dfaa32898a,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_100","usdc
usdc
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:1","0




1
0
1"
66,34,0x13165fd916ff13591002a6b3bbbcc58be73b2e57d2c971d0082880f94317e593,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in




LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault






LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
eth
steth
steth
wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1




LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0










1
0
1"
117,32,0x9d3c0448e48728b3587dd32b8c9577f0f5701df10c90dbda23d07f6d48b8d249,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
BalancerVault:token_in
BalancerVault:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
BalancerVault
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","usdt
usdt
crvusd
crvusd
wsteth
wsteth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
BalancerVault:1
BalancerVault:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0






0"
119,29,0x40034db31df7b4eed4323f2b665a5dd15ddae91f8efcc19b85d501a9fddd7827,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_100","usdt
usdt
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:1","0




1
0
1"
128,29,0x754382fba06dc5dab8ed9cc8d9222c5a1f89fcfea23b7eb4afc6a4679d7b3758,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500","wsteth
wsteth
crvusd
crvusd
usdc
weth
weth
usdc","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:1","0




1
0
1"
106,27,0xb530a9fadb880b58946861cb6388e29292d5953e03c7e2cf5c395e31ad1588be,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
BalancerVault:token_in
BalancerVault:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
BalancerVault
BalancerVault
UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
wsteth
wsteth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
BalancerVault:1
BalancerVault:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0






0"
62,24,0x2f4bb248f56042bacc73efcd730bed47d804686b584a68b0e14cfa92bbd5dcee,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in




LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault






LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
BalancerVault
UniswapV3Pool-WETH-USDC:fee_500","weth
eth
weth
eth
steth
steth
wsteth
wsteth
crvusd
crvusd
usdc
weth
weth
usdc","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1




LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:1","0










1
0
1"
104,20,0xbec5b5c2efa1436c4a43f32925550e5bcc0882de176db353a9ae200211d94273,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out


CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD


CurveStableSwap-stETH-USDT
CurveStableSwap-stETH-USDT


UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
wsteth
steth
wsteth
steth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1


CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0"
49,19,0x0d74fe45eed16a205389f63b7c8e164575afe65f34eb1d613cc972ca65548bd9,"
LLAMMA:token_in
LLAMMA:token_out
","
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
","crvusd
crvusd
wsteth
wsteth","
LLAMMA:1
LLAMMA:1
","


"
116,18,0x47d175db859d09a9cd0f69e2d84e88dcf33005729ffd9f5d0c72196c48d67e4b,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out


CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD


CurveStableSwap-stETH-USDT
CurveStableSwap-stETH-USDT


UniswapV3Pool-WETH-USDT:fee_500","usdt
usdt
crvusd
crvusd
wsteth
steth
wsteth
steth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1


CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0"
48,15,0x1744085ed6e6c16904e1423ec11c3b3e23fd52dd4f49a3137c0feac13dd1e222,"
LLAMMA:token_in
LLAMMA:token_out","
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD","crvusd
crvusd
wsteth","
LLAMMA:1
LLAMMA:1","

"
110,13,0xf56f0514e6a2aabd23145506aca57d72f06af4a59d6fe873aca81345df8f4b87,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_500","usdc
usdc
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:1","0




1
0
1"
103,10,0xda494d63f97e7b04ebebfc88dd0c35bcd2d455825d803129fec60e007cd476c6,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out


CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD


CurveStableSwap-ETH-stETH
CurveStableSwap-ETH-stETH


UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
wsteth
steth
wsteth
steth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1


CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0










0"
115,10,0xd25e222bdfe2860228cae3d00dfba67f5c10ad4c28d966d5569ad039a1281d58,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out


CurveSwap:token_in
CurveSwap:token_out
WETH_deposit:eth_in
WETH_deposit:weth_out
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD


CurveStableSwap-ETH-stETH
CurveStableSwap-ETH-stETH


UniswapV3Pool-WETH-USDT:fee_500","usdt
usdt
crvusd
crvusd
wsteth
steth
wsteth
steth
eth
eth
weth
weth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1


CurveSwap:2
CurveSwap:2
WETH_deposit:1
WETH_deposit:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0","0










0"
35,8,0x10f1654cf41d17b6e7eadc049c9b4577ae2f7cec9a06da7ddc3c82e06895748f,"WETH_transfer
BalancerVault:token_in
BalancerVault:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
WETH_transfer","
BalancerVault
BalancerVault
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-USDC:fee_500
","weth
weth
wsteth
wsteth
crvusd
crvusd
usdc
weth
usdc
weth","WETH_transfer:1
BalancerVault:1
BalancerVault:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
UniswapSwap:1
UniswapSwap:1
WETH_transfer:2","








"
120,8,0x4260975716291796be976ddc363e9331d9c47af1514be69a4257b752522f091b,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_500","usdt
usdt
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:1","0




1
0
1"
131,7,0x5b3d9e18824a3eca6af3ceff35500c8c8a4adde3506d5c97df349368729f9a91,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
PancakeSwap:token_out
UniswapSwap:token_in
PancakeSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
PancakeV3Pool-WETH-USDT
UniswapV3Pool-WETH-wstETH:fee_100
PancakeV3Pool-WETH-USDT","wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:PancakeV3Pool-WETH-USDT:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
flash_repay:PancakeV3Pool-WETH-USDT:1","0




1
0
1"
143,7,0x8aec9505b87e0bc25140b84fe1caa1f23b719fa2ae9de06e6310c7ecdc1de878,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDT:fee_500","wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0




1
0
1"
64,5,0xf0fb7f2dd5f51a27db795c745bef91543bf600d76305136389fab0ba87f73f4f,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in




LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
BalancerVault:token_in","BalancerVault






LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
CurveTriCrypto-WBTC-ETH-USDT
CurveTriCrypto-WBTC-ETH-USDT
BalancerVault","weth
eth
weth
eth
steth
steth
wsteth
wsteth
crvusd
crvusd
usdt
usdt
weth
weth","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1




LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
CurveSwap:2
CurveSwap:2
flash_repay:BalancerVault:0","0












0"
139,5,0xad5823edaf2a058f0123c032904fe936f5811f5e5bb1d95c96b25289bfd855fe,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500","wsteth
wsteth
crvusd
crvusd
usdc
weth
weth
usdc","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:0
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:1","0




1
0
1"
8,4,0xf35f5acbc468da2a048f6f06a7195fa829bc3953c7357344a82e95c35590b1f1,"




LLAMMA:token_in
LLAMMA:token_out
","




LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
","eth
eth
steth
steth
wsteth
wsteth
crvusd
crvusd","




LLAMMA:1
LLAMMA:1
","






"
12,4,0x0011df0a4e0d039da9bce407bcf630223a0e3741da5e162aec18aecdf70ee1f0,"
WETH_deposit:eth_in
WETH_deposit:weth_out

WETH_transfer
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
","




LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
","eth
eth
weth
wsteth
weth
wsteth
crvusd
crvusd
usdt
usdt","
WETH_deposit:1
WETH_deposit:1

WETH_transfer:2
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
","








"
39,4,0x69db8b06be1da711e4cf58d1257729ae80c3da25d7bb7e3e10ed4f10348618fe,"WETH_transfer
BalancerVault:token_in
BalancerVault:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
WETH_transfer","
BalancerVault
BalancerVault
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-USDT:fee_500
","weth
weth
wsteth
wsteth
crvusd
crvusd
usdt
weth
usdt
weth","WETH_transfer:1
BalancerVault:1
BalancerVault:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
UniswapSwap:1
UniswapSwap:1
WETH_transfer:2","








"
93,4,0x225a6ac64c5d5664c3871487b13e033cbc30064bc5e2c9c2ac2d1d8e95ee03c2,"CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in","CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-USDC-wstETH:fee_500
UniswapV3Pool-USDC-wstETH:fee_500","usdc
crvusd
crvusd
wsteth
usdc
wsteth","CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
UniswapSwap:1
UniswapSwap:1","




"
98,4,0x2a21cfd83728dbca6bba5faacfc0f9ba456e873748c321ff8f1809607c329908,"UniswapSwap:token_out
BalancerVault:token_in
BalancerVault:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-USDC-RUSDC:fee_500
BalancerVault
BalancerVault
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-USDC-RUSDC:fee_500","r
r
wsteth
wsteth
crvusd
crvusd
usdc
usdc","UniswapSwap:1
BalancerVault:1
BalancerVault:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
UniswapSwap:2","






"
109,4,0xb20877408aab67d689c67ba71cedff0462a0d024c388b43bc25710e28b03641d,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500","usdc
usdc
crvusd
crvusd
wsteth
weth
wsteth
weth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
UniswapSwap:2
UniswapSwap:2
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0","0






0"
130,4,0x1cfcdcea6aabf3cceb64a6c0422a96aad28b107f2f44555cec41f420fa6f50a2,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
CurveTriCrypto-WBTC-ETH-USDT
CurveTriCrypto-WBTC-ETH-USDT
UniswapV3Pool-WETH-wstETH:fee_100","wsteth
wsteth
crvusd
crvusd
usdt
usdt
weth
weth","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
CurveSwap:2
CurveSwap:2
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0","0






0"
